       terms        Mmax subset I       Mmax subset II      Mmax subset III       Mmax subset IV         Fmax subset I       Fmax subset II      Fmax subset III       Fmax subset IV  
           1               -3.172               9.1047             -12.9231              69.4752               2.4318              11.5825             -13.4795              74.6379  
         x1                     0              -1.2317                34.56              -1.8668                    0              11.8081              36.7484                1.708  
         x2                     0                    0                    0                    0                    0                    0                    0                    0  
         x3                     0                    0                    0                    0                    0                    0                    0                    0  
         x4                     0                    0                    0                    0                    0                    0                    0                    0  
         x5                     0                    0                    0                    0                    0                    0                    0                    0  
         x6                     0             -12.1637               1.4203             -67.6056                    0              -3.6519               1.0239             -42.1695  
         x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x1 x1                     0                    0                    0                    0                    0                    0                    0                    0  
      x1 x2                     0                    0                    0                    0                    0                    0                    0                    0  
      x1 x3                     0                    0                    0              29.6055                    0                    0                    0              42.4898  
      x1 x4                     0                    0                    0                    0                    0                    0                    0                    0  
      x1 x5                     0                    0                    0                    0                    0                    0                    0                    0  
      x1 x6                     0                    0                    0              0.96841                    0                    0                    0               2.4273  
      x1 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x2 x2                     0                    0                    0                    0                    0                    0                    0                    0  
      x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
      x2 x4                     0                    0                    0                    0                    0                    0                    0                    0  
      x2 x5                     0                    0             -40.7314                    0                    0                    0              -38.888                    0  
      x2 x6                     0                    0                    0                    0                    0                    0                    0                    0  
      x2 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x3 x3                     0                    0                    0             312.1682                    0                    0                    0             306.6655  
      x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
      x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
      x3 x6                     0                    0                    0                    0                    0                    0                    0                    0  
      x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
      x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
      x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
      x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
      x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
      x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
      x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
      x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x1 x1                0.4173              -1.2836             0.038901             0.043816               4.2321              -1.2676             0.038835             0.049304  
   x1 x1 x2                     0                    0               -8.031             -26.7275                    0                    0              -7.8388             -18.7506  
   x1 x1 x3               0.80977                    0               5.4865              -9.4446              -2.5493                    0               4.5429             -11.8991  
   x1 x1 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x1 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x1 x6                     0                    0              0.36747              17.8369                    0                    0              0.23078                9.071  
   x1 x1 x7                     0                    0              -1.0612             -17.8901                    0                    0             -0.08132             -16.6413  
   x1 x2 x2                     0                    0                    0             -66.3758                    0                    0                    0             -52.3383  
   x1 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x2 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x2 x5                9.8667              -8.3461             -32.6471                    0              -3.8928              -2.9105             -34.9848                    0  
   x1 x2 x6                     0                    0              -5.4153                    0                    0                    0              -3.2183                    0  
   x1 x2 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x3 x3                     0                    0              59.0369                    0                    0                    0              59.4351                    0  
   x1 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x3 x6                7.8605                    0                    0                    0               8.8216                    0                    0                    0  
   x1 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x1 x6 x6                7.5088                    0                    0                    0             -0.63429                    0                    0                    0  
   x1 x6 x7               -4.4036                    0                    0                    0              -5.8425                    0                    0                    0  
   x1 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x2 x2               -5.7679                    0                    0                    0              -6.8082                    0                    0                    0  
   x2 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x2 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x2 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x2 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x2 x7               -1.9936                    0                    0                    0               7.5406                    0                    0                    0  
   x2 x3 x3                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x3 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x2 x7 x7                 2.254                    0                    0                    0              -4.0108                    0                    0                    0  
   x3 x3 x3                2.2149                -3.38                    0                    0              -1.1402              10.3164                    0                    0  
   x3 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x3 x6               -2.6199                    0                    0                    0              -2.3254                    0                    0                    0  
   x3 x3 x7                6.4885                    0                    0                    0              -3.8196                    0                    0                    0  
   x3 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x5 x5                7.0942                    0                    0                    0              16.0873                    0                    0                    0  
   x3 x5 x6               13.3838                    0                    0                    0              -6.0256                    0                    0                    0  
   x3 x5 x7               -5.0258                    0                    0                    0              11.7826                    0                    0                    0  
   x3 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x3 x6 x7                -5.112                    0                    0                    0              11.0978                    0                    0                    0  
   x3 x7 x7                5.3584                    0                    0                    0             -11.9387                    0                    0                    0  
   x4 x4 x4               -0.3256                    0                    0                    0             -0.24499                    0                    0                    0  
   x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x4 x4 x6               -1.3827                    0                    0                    0              0.61638                    0                    0                    0  
   x4 x4 x7                     0               2.7835                    0                    0                    0              13.7178                    0                    0  
   x4 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x4 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x4 x6 x6                 2.775                    0                    0                    0              12.2797                    0                    0                    0  
   x4 x6 x7              -10.7073                    0                    0                    0              -1.4604                    0                    0                    0  
   x4 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x5 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
   x5 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x5 x5 x7                1.0711                    0                    0                    0               -2.437                    0                    0                    0  
   x5 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
   x5 x6 x7                7.8765                    0                    0                    0             -10.1989                    0                    0                    0  
   x5 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x6 x6 x6                3.0564                    0                    0                    0              -1.5791                    0                    0                    0  
   x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
   x6 x7 x7                     0              0.95287                    0                    0                    0               6.1826                    0                    0  
   x7 x7 x7                -3.051                    0                    0                    0               1.5575                    0                    0                    0  
x1 x1 x1 x1                     0              0.46524                    0                    0              0.31479              0.39899                    0                    0  
x1 x1 x1 x2                     0                    0              -1.0422              -1.0979                    0                    0              -1.0424                 -1.2  
x1 x1 x1 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x1 x1 x4                1.9102                    0               1.0438                  1.1               1.8987                    0                1.044               1.2023  
x1 x1 x1 x5                     0                    0            -0.038943            -0.043888                    0                    0            -0.038877            -0.049387  
x1 x1 x1 x6               0.27045             -0.10614                    0                    0               1.0199            -0.060498                    0                    0  
x1 x1 x1 x7               -1.6431                    0                    0                    0              -5.9949                    0                    0                    0  
x1 x1 x2 x2                2.1413              -3.8628              -4.3971               8.1332              -3.1137               1.3909              -5.2362               15.779  
x1 x1 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x1 x2 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x1 x2 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x1 x2 x6                     0                    0               -4.786                    0                    0                    0              -2.2254                    0  
x1 x1 x2 x7                     0                    0                    0              19.0416                    0                    0                    0               4.8031  
x1 x1 x3 x3                     0             -0.49008             -45.0931             -37.5316                    0             -0.67688             -44.9192             -36.7903  
x1 x1 x3 x4                     0                    0              53.7045              52.8721                    0                    0              53.5888              56.0264  
x1 x1 x3 x5                     0               1.0168                    0                    0                    0              -1.9612                    0                    0  
x1 x1 x3 x6                     0                    0                    0             -0.59635                    0                    0                    0                 -1.6  
x1 x1 x3 x7                     0                    0              -4.0884              10.3536                    0                    0              -3.1582              12.6174  
x1 x1 x4 x4                     0                    0             -14.4873             -26.1339                    0                    0             -13.1662             -36.5154  
x1 x1 x4 x5               -1.3891                    0               5.6072               7.0528               2.0015                    0               5.7764              13.3797  
x1 x1 x4 x6                0.3098                    0               4.8116              -2.6037                2.704                    0               2.2423             -0.58165  
x1 x1 x4 x7               -6.4344                    0               1.6929                    0              -3.1457                    0               1.3395                    0  
x1 x1 x5 x5                1.4055                    0               3.4717                    0             -0.75401                    0               1.9532                    0  
x1 x1 x5 x6               -5.2209                    0             -0.13696                    0               -3.612                    0             -0.10441                    0  
x1 x1 x5 x7                     0                    0              -5.9639                    0                    0                    0              -3.8921                    0  
x1 x1 x6 x6                     0               1.4351                    0              -7.4613                    0              -0.8519                    0              -7.6015  
x1 x1 x6 x7                6.0352                    0             -0.23311             -17.8355               2.6856                    0             -0.12816              -9.0635  
x1 x1 x7 x7                0.4556              0.65214               3.5397              17.8868               2.4932               1.1357               2.0066              16.6413  
x1 x2 x2 x2                     0                    0               6.2234              137.179                    0                    0               6.9263             139.4918  
x1 x2 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x4                6.0066                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x6                  4.57              -2.8443                    0                    0               2.7781              0.67795                    0                    0  
x1 x2 x2 x7               -9.0603                    0                    0                    0               5.7197                    0                    0                    0  
x1 x2 x3 x3                     0               7.1365                    0                    0                    0              19.5688                    0                    0  
x1 x2 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x5                -8.912                    0                    0                    0                -3.81                    0                    0                    0  
x1 x2 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x6 x7               -3.2436                    0                    0                    0             -10.9697                    0                    0                    0  
x1 x2 x7 x7                     0                    0                    0              50.9216                    0                    0                    0              33.2189  
x1 x3 x3 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x3 x5               -2.7369                    0                    0              103.399              -2.6926                    0                    0               87.663  
x1 x3 x3 x6              -10.6729                    0                    0                    0               1.8265                    0                    0                    0  
x1 x3 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x5 x6                     0                    0               3.8033                    0                    0                    0              0.75514                    0  
x1 x3 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x7 x7               0.14955               5.8743                    0                    0               3.0004               3.1261                    0                    0  
x1 x4 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x4 x6                     0                    0               2.0534                    0                    0                    0               1.1438                    0  
x1 x4 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x5 x5               -4.1193                    0              48.9351             -76.5139               2.5235                    0              49.2679             -72.7286  
x1 x4 x5 x6                     0                    0             -0.30166                    0                    0                    0              0.85379                    0  
x1 x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x6 x6                2.8864                    0                    0                    0              -6.5667                    0                    0                    0  
x1 x4 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
